HRR,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months",senior_ratio,population_density,hospital_utilization
"Fresno, CA",547.0,1241.0,77.0,141.0,918145.0,146620.0,183629.0,37675.0,7952.0,2512.0,459.0,202.0,130.0,1256.0,230.0,101.0,65.0,819.0,150.0,66.0,42.0,530.0,688.0,376.0,259.0,265.0,344.0,188.0,129.0,173.0,225.0,123.0,84.0,0.1596915519879757,474.4935400516796,0.717312661498708
"Gainesville, FL",469.0,1152.0,88.0,195.0,464038.0,96829.0,92808.0,19473.0,4224.0,1298.0,277.0,113.0,71.0,649.0,138.0,56.0,35.0,423.0,90.0,37.0,23.0,282.0,320.0,145.0,93.0,141.0,160.0,72.0,47.0,92.0,105.0,47.0,30.0,0.2086661006210698,253.01962922573608,0.7442748091603053
"Gary, IN",638.0,1036.0,95.0,137.0,392167.0,80990.0,78433.0,16441.0,3562.0,1096.0,172.0,106.0,76.0,548.0,86.0,53.0,38.0,357.0,56.0,34.0,25.0,237.0,249.0,173.0,132.0,119.0,125.0,87.0,66.0,77.0,81.0,56.0,43.0,0.2065191614796757,273.47768479776846,0.5550906555090656
"Grand Forks, ND",374.0,663.0,18.0,24.0,130084.0,25793.0,26017.0,5433.0,1172.0,362.0,97.0,55.0,38.0,181.0,48.0,27.0,19.0,118.0,32.0,18.0,12.0,78.0,433.0,325.0,252.0,39.0,217.0,163.0,126.0,25.0,139.0,104.0,81.0,0.1982795731988561,136.64285714285714,0.6071428571428572
"Grand Junction, CO",321.0,509.0,33.0,54.0,270519.0,57077.0,54104.0,11364.0,2468.0,758.0,236.0,149.0,109.0,379.0,118.0,74.0,54.0,247.0,77.0,49.0,35.0,165.0,500.0,306.0,220.0,82.0,248.0,152.0,109.0,54.0,164.0,100.0,72.0,0.2109907252355657,388.6767241379311,0.5387931034482758
"Grand Rapids, MI",957.0,1699.0,86.0,161.0,933913.0,171359.0,186783.0,38745.0,8289.0,2583.0,270.0,152.0,106.0,1292.0,135.0,76.0,53.0,842.0,88.0,50.0,35.0,553.0,643.0,343.0,234.0,276.0,321.0,171.0,117.0,180.0,209.0,112.0,76.0,0.183484971298183,382.75122950819673,0.6077868852459016
"Great Falls, MT",367.0,652.0,27.0,39.0,114922.0,25583.0,22984.0,4853.0,1061.0,324.0,88.0,50.0,35.0,162.0,44.0,25.0,17.0,106.0,29.0,16.0,11.0,71.0,263.0,182.0,142.0,35.0,130.0,90.0,70.0,23.0,85.0,59.0,46.0,0.2226118584779241,122.64887940234792,0.608324439701174
"Greeley, CO",396.0,594.0,28.0,54.0,294267.0,55594.0,58853.0,12238.0,2626.0,816.0,206.0,137.0,103.0,408.0,103.0,69.0,52.0,266.0,67.0,45.0,34.0,175.0,625.0,324.0,222.0,88.0,314.0,163.0,111.0,57.0,204.0,106.0,72.0,0.1889236645631348,371.5492424242424,0.5
"Green Bay, WI",498.0,744.0,43.0,77.0,402953.0,88095.0,80591.0,16986.0,3704.0,1132.0,227.0,152.0,114.0,566.0,114.0,76.0,57.0,369.0,74.0,50.0,37.0,247.0,574.0,321.0,221.0,123.0,286.0,160.0,110.0,81.0,188.0,105.0,72.0,0.2186235119232267,407.0232323232323,0.4969696969696969
"Greensboro, NC",362.0,793.0,47.0,91.0,505727.0,100544.0,101145.0,21128.0,4559.0,1409.0,389.0,178.0,115.0,704.0,194.0,89.0,58.0,459.0,127.0,58.0,38.0,304.0,647.0,334.0,225.0,152.0,323.0,167.0,113.0,99.0,211.0,109.0,73.0,0.1988108208578936,413.1756535947712,0.7042483660130718
